KET单词表汇总	
NO.	单词	音标	解释	默写	
1060	skateboard	[ˈskeɪtbɔːd]	滑板		
1061	classmate	[ˈklɑːsmeɪt]	同班同学		
1062	shorts	[ʃɔːts]	n.短裤；运动短裤		
第 36 页，共 55 页
1063	receipt	[riˈsiːt]	n.收到；收条，收据		
1064	chatroom	[ˈʧætruːm]	（电脑网络上的）聊天室，交谈室		
1065	driver	[ˈdraɪvər]	n.司机，驾驶员		
1066	app	[æp]	应用程序		
1067	bookshelf	[ˈbʊkʃelf]	书架		
1068	speak	[spiːk]	v.说；说话		
1069	scooter	[ˈskuːtə(r)]	n.小型摩托车		
1070	popular	[ˈpɒpjələr]	adj.受喜爱的，受欢迎的		
1071	goal	[ɡəʊl]	n.目标		
1072	striped	[straɪpt]	有条纹的		
1073	online	[ˌɒnˈlaɪn]	adv.在线，联网		
1074	magazine	[ˌmæɡəˈziːn]	n.杂志		
1075	fine	[faɪn]	vt.罚款 adj.美好(优秀)的		
1076	space	[speɪs]	n. 太空		
1077	dinosaur	[ˈdaɪnəsɔːr]	n.恐龙		
1078	bottom	[ˈbɒtəm]	n. 底，底部；adj. 底部的；最后	的，尽头的		
1079	action	[ˈækʃn]	n.行动		
1080	bright	[braɪt]	明亮的；耀眼的		
1081	repeat	[rɪˈpiːt]	重复；重做		
1082	thunderstorm	[ˈθʌndəstɔːm]	雷雨		
1083	autumn	[ˈɔːtəm]	n.秋天，秋季		
1084	lemon	[ˈlemən]	n. 柠檬		
1085	together	[təˈɡeðər]	一起		
1086	area	[ˈeəriə]	区域；面积		
1087	grandparent	[ˈɡrænpeərənt]	（外）祖父母		
1088	oven	[ˈʌvn]	n. 烤箱		
1089	there	[ðeər]	adv.(在)那里		
1090	write down		写下；记录下		
1091	flat	[flæt]	水平地		
1092	clearly	[ˈklɪəli]	adv.清晰地，明亮地；清楚地		
第 37 页，共 55 页
1093	board	[bɔːd]	n. 栏；板；v.寄宿		
1094	wonderful	[ˈwʌndəfl]	adj.美妙的，精彩的；太好了		
1095	ill	[ɪl]	adj.有病的；不健康的		
1096	guest-house	[ˈɡestˌhaʊs]	n.小旅馆		
1097	like	[laɪk]	prep.像；怎么样		
1098	CD player		激光唱片		
1099	large	[lɑːdʒ]	adj.大的；巨大的		
1100	picnic	[ˈpɪknɪk]	野餐		
1101	shop	[ʃɒp]	v. 购物		
1102	fridge	[frɪdʒ]	冰箱		
1103	crossing	[ˈkrɒsɪŋ]	n.十字路口		
1104	least	[liːst]	n.最少，最少量		
1105	runner	[ˈrʌnər]	n.赛跑的人		
1106	boy	[bɔɪ]	n.男孩		
1107	park	[pɑːk]	n.公园		
1108	no	[nəʊ]	ad.不，不是;a.没有，无，不		
1109	grandmother	[ˈɡrænmʌðər]	n.（外）祖母		
1110	harbour	[ˈhɑːbər]	n.港口，港湾		
1111	something	[ˈsʌmθɪŋ]	某事物		
1112	drawer	[ˈdrɔːə]	n.抽屉		
1113	way	[weɪ]	n.路，路线；路途；方式，手段		
1114	for	[fər; fɔːr]	conj.因为，由于		
1115	city	[ˈsɪti]	n.城市		
1116	fork	[fɔːk]	n.餐叉，叉子		
1117	writing	[ˈraɪtɪŋ]	n.文章，著作		
1118	rich	[rɪtʃ]	adj.富有的，富裕的		
1119	try	[traɪ]	n.试；努力		
1120	put	[pʊt]	增加（体重）；发胖		
1121	blackboard	[ˈblækbɔːd]	n.黑板		
1122	idea	[aɪˈdɪə]	adj. 完美的：理想的；最合适的		
第 38 页，共 55 页
1123	show	[ʃəʊ]	指示；带路		
1124	mouse	[maʊs]	n.（计算机）鼠标，老鼠		
1125	borrow	[ˈbɒrəʊ]	借		
1126	warm	[wɔːm]	adj.温暖的		
1127	mango	[ˈmæŋɡəʊ]	芒果		
1128	shoe	[ʃuː]	n.鞋		
1129	fishing	[ˈfɪʃɪŋ]	n.钓鱼		
1130	surfing	[ˈsɜːfɪŋ]	冲浪运动		
1131	broken	[ˈbrəʊkən]	坏的		
1132	chef	[ʃef]	n. 主厨，厨师		
1133	get fit		保持健康；健身；去健身		
1134	poster	[ˈpəʊstər]	n.海报		
1135	wardrobe	[ˈwɔːdrəʊb]	n.衣柜，衣橱		
1136	accident	[ˈæksɪdənt]	n.（交通）事故		
1137	continue	[kənˈtɪnjuː]	v.继续		
1138	game	[ɡeɪm]	n.游戏；运动；比赛		
1139	wool	[wʊl]	n. 羊毛		
1140	well known		(adv)众所周知		
1141	taxi	[ˈtæksi]	n.出租汽车		
1142	window	[ˈwɪndəʊ]	n.窗户；视窗		
1143	various	[ˈveəriəs]	adj.各种各样的，不同的		
1144	guy	[ɡaɪ]	n. 家伙；男人；小伙子		
1145	sell	[sel]	v.出售，售卖		
1146	thirsty	[ˈθɜːsti]	adj.渴		
1147	roof	[ruːf]	n.屋顶, 房顶, 顶		
1148	postcard	[ˈpəʊstkɑːd]	明信片		
1149	dance	[dɑːns]	v.跳舞；舞蹈		
1150	milk	[mɪlk]	n.牛奶		
1151	art	[ɑːt]	n.艺术;美术		
1152	lift	[lɪft]	n. 电梯		
第 39 页，共 55 页
1153	never	[ˈnevər]	adv. 从不		
1154	left-hand	[lɛft-hænd]	adj. 左手的；左侧的		
1155	IT	[ɪt]	pron它		
1156	hungry	[ˈhʌŋɡri]	adj.饥饿的		
1157	sleep	[sliːp]	v.&n.睡觉		
1158	waiter	[ˈweɪtər]	n.（男）侍者，服务员		
1159	worse	[wɜːs]	adj.更差的，更坏的		
1160	dot	[dɒt]	点		
1161	farm	[fɑːm]	n.农场；农庄		
1162	picture	[ˈpɪktʃər]	n.图片，画片，照片；影片		
1163	centimet		厘米		
1164	girlfriend	[ˈɡɜːlfrend]	n.女朋友		
1165	motorbike	[ˈməʊtəbaɪk]	n.摩托车		
1166	kiss	[kɪs]	n. & v. 吻，亲吻		
1167	do	[du]	v. & aux.做，干(did，done)		
1168	example	[ɪɡˈzɑːmpl]	n.例子		
1169	happen	[ˈhæpən]	v.(偶然)发生；碰巧		
1170	exit	[ˈeksɪt; ˈeɡzɪt]	n. 出口		
1171	housewife	[ˈhauswaif]	n.家庭主妇		
1172	first	[fɜːst]	第一；首先		
1173	fly	[flaɪ]	n.飞行；苍蝇		
1174	cup	[kʌp]	杯子		
1175	daughter	[ˈdɔːtər]	女儿		
1176	several	[ˈsevrəl]	det.几个，一些		
1177	need	[niːd]	需要		
1178	push	[pʊʃ]	vi.&vt.推，挤		
1179	headache	[ˈhedeɪk]	头痛		
1180	mail	[meɪl]	邮寄；发电子邮件n.		
1181	by	[baɪ]	prep.(表示方式）乘（交通工具）		
1182	story	[ˈstɔːri]	n.故事；小说		
第 40 页，共 55 页
1183	newspaper	[ˈnjuːzpeɪpər]	n.报纸		
1184	hour	[ˈaʊər]	n. 小时		
1185	memory	[ˈmeməri]	n.记忆力，记性，回忆，记忆		
1186	son	[sʌn]	n.儿子		
1187	pink	[pɪŋk]	粉色（的）		
1188	trip	[trɪp]	n. 旅行		
1189	boss	[bɒs]	n.领班；老板		
1190	remember	[rɪˈmembər]	v.记住;记起		
1191	ad	[æd]	abbr. 优势 (advantage)n. 广告；	促销活动；预告片	（advertisement，非正式）		
1192	upset	[ʌpˈset]	adj.心烦的，难过的		
1193	take part		参加，参与		
1194	telephone	[ˈtelɪfəʊn]	n.电话，电话机		
1195	stripes	[straɪps]	(n)条子布；条纹布(stripe复数形式)		
1196	bowl	[bəʊl]	n.碗		
1197	cooking	[ˈkʊkɪŋ]	n.烹饪，烹调		
1198	digital	[ˈdɪdʒɪtl]	adj.数码的,数字的		
1199	one	[wʌn]	一		
1200	worst	[wɜːst]	adj.最差的，最坏的		
1201	opinion	[əˈpɪnjən]	n.意见，想法		
1202	year	[jɪər; jɜːr]	n.年；岁		
1203	grandpa	[ˈɡrænpɑː]	n.爷爷；外公(=grandfather)		
1204	make	[meɪk]	v.使成为；制造		
1205	trousers	[ˈtraʊzəz]	n.裤子，长裤		
1206	chocolate	[ˈtʃɒklət]	巧克力		
1207	part	[pɑːt]	部分		
1208	green	[ɡriːn]	n.绿色		
1209	alright	[ɔːlˈraɪt]	adv.好吧		
1210	drive	[draɪv]	驾驶		
1211	stuff	[stʌf]	n. 东西；材料；填充物；素材资料	vt. 塞满；填塞；让吃饱vi. 吃得过		
第 41 页，共 55 页
1212	pass	[pɑːs]	传递；经过		
1213	midnight	[ˈmɪdnaɪt]	n.午夜，子夜		
1214	perfect	[ˈpɜːfɪkt]	adj.完美的		
1215	always	[ˈɔːlweɪz]	adv.总是；一直；永远		
1216	envelope	[ˈenvələʊp; ˈɒnvələʊ	p]	n.信封		
1217	work	[wɜːk]	v.&n.工作		
1218	thank	[θæŋk]	n.(复)感谢，谢意		
1219	mountain	[ˈmaʊntən]	山脉		
1220	mechanic	[miˈkænik]	n.技工，机械，机修工		
1221	website	[ˈwebsaɪt]	n.网站		
1222	supermarket	[ˈsuːpəmɑːkɪt; 	ˈsjuːpəmɑːkɪt]	n.超市		
1223	science	[ˈsaɪəns]	n.科学		
1224	musical	[ˈmjuːzɪkl]	n.音乐剧		
1225	take	[teɪk]	v.拿；拿走；做；吃，服用；乘坐	(车、船)；花费(时间)；拍照(took，		
1226	seem	[siːm]	v.似乎，好像		
1227	maybe	[ˈmeɪbi]	也许		
1228	fill	[fɪl]	v.填空；装满；充满		
1229	cry	[kraɪ]	n.叫喊；哭声		
1230	mile	[maɪl]	n.英里		
1231	pound	[paʊnd]	n. 英镑		
1232	think	[θɪŋk]	v.想；思考；认为；考虑	(thought,thought)		
1233	room	[ruːm; rʊm]	n.房间，室；空间；地方		
1234	hit	[hɪt]	v.打，撞，击中，碰撞(hit, hit)		
1235	return	[rɪˈtɜːn]	v.归还		
1236	breakfast	[ˈbrekfəst]	n.早餐		
1237	tiger	[ˈtaɪɡə(r)]	n.老虎		
1238	engineer	[ˌendʒɪˈnɪər]	n.工程师；技师		
1239	history	[ˈhɪstri]	历史		
1240	movie theater		电影院		
1241	record	[ˈrekɔːd]	v.录制，录音；记录		
第 42 页，共 55 页
1242	dish	[dɪʃ]	n.碟;盘		
1243	bottle	[ˈbɒtl]	瓶子		
1244	including	[ɪnˈkluːdɪŋ]	prep.包括，包含		
1245	run	[rʌn]	v.跑;奔		
1246	capital	[ˈkæpɪtl]	首都		
1247	directions	[dɪ'rekʃ(ə)nz]	方向		
1248	disco	[ˈdɪskəʊ]	n．迪斯科(一种舞曲)		
1249	half-price	[ˌhɑːf-ˈpraɪs]	adv. 半价；半价的		
1250	queen	[kwiːn]	n.王后		
1251	rent	[rent]	v．租借；出租		
1252	view	[vjuː]	n.景色，风景		
1253	cheque	[tʃek]	n. 支票		
1254	tired	[ˈtaɪəd]	adj.疲劳的，累的		
1255	wide	[waɪd]	adj.宽的；广泛的		
1256	bat	[bæt]	n.蝙蝠		
1257	news	[njuːz]	n.新闻；消息		
1258	shirt	[ʃɜːt]	n.男衬衫		
1259	able	[ˈeɪbl]	adj.能够；有能力的		
1260	customer	[ˈkʌstəmər]	n. 顾客		
1261	rugby	[ˈrʌɡbi]	橄榄球		
1262	department store		n. 百货商店		
1263	museum	[mjuˈziːəm]	博物馆		
1264	while	[waɪl]	n.一会儿		
1265	exam	[ɪɡˈzæm]	n.考试，测试；检查		
1266	adventure	[ədˈventʃər]	n. 冒险；冒险经历；奇遇		
1267	wait	[weɪt]	v.等，等候		
1268	our	[ɑːr; ˈaʊər]	pron我们的		
1269	probably	[ˈprɒbəbli]	adv.很可能		
1270	car park		停车场		
1271	money	[ˈmʌni]	钱		
第 43 页，共 55 页
1272	chemist	[ˈkemist]	a.这；今；pron.这		
1273	with	[wɪð; wɪθ]	prep.与……一道；跟……一起；带	有，具有；关于；以；和；用；有		
1274	afterwards	[ˈɑːftəwədz]	adv.以后，后来		
1275	plus	[plʌs]	prep.加，加上		
1276	excited	[ɪkˈsaɪtɪd]	兴奋的		
1277	here	[hɪər]	adv.这里，在这里；向这里		
1278	butter	[ˈbʌtər]	n.黄油，奶油		
1279	suddenly	[ˈsʌdənli]	adv.突然，忽然		
1280	dictionary	[ˈdɪkʃənri]	字典		
1281	time	[taɪm]	n.时间		
1282	steak	[steɪk]	n.牛排		
1283	attractive	[əˈtræktɪv]	adj.有吸引力的		
1284	piece	[piːs]	n.一块(片，张，件，段……)；碎	片；部件		
1285	repair	[rɪˈpeər]	n.&v.修理		
1286	melon	[ˈmelən]	n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜	似的东西n. (Melon)人名；(意、西		
1287	often	[ˈɒfn; ˈɒftən]	adv.时常;常常		
1288	but	[bət; bʌt]	conj.但是		
1289	printer	[ˈprɪntə(r)]	n.［计］打印机；印刷工		
1290	hey	[heɪ]	excl.嘿，喂		
1291	stamp	[stæmp]	邮票；印章		
1292	whose	[huːz]	pron.谁的		
1293	call	[kɔːl]	n.喊；叫；电话；通话		
1294	father	[ˈfɑːðər]	n.父亲		
1295	much	[mʌtʃ]	n.(表示不可数名词)许多；大量		
1296	correct	[kəˈrekt]	正确的；恰当的		
1297	make sure		确保，设法保证		
1298	platform	[ˈplætfɔːm]	n.讲台；站台		
1299	sad	[sæd]	adj.悲伤的		
1300	eye	[aɪ]	n.眼睛		
1301	aeroplane	[ˈeərəpleɪn]	n.飞机		
第 44 页，共 55 页
1302	strawberry	[ˈstrɔːbəri]	n.草莓		
1303	juice	[dʒuːs]	n.果汁;饮料		
1304	enter	[ˈentər]	v.进来，进入		
1305	pick up		捡起；拾起		
1306	photography	[fəˈtɒɡrəfi]	n.照相术，摄影		
1307	sugar	[ˈʃʊɡər]	糖		
1308	hip hop		说唱；嘻哈乐（节奏强烈，说唱形	式的一种流行伴舞音乐）		
1309	snake	[sneɪk]	n.蛇		
1310	tea	[tiː]	n.茶;茶叶		
1311	sit	[sɪt]	v.坐		
1312	himself	[hɪmˈself]	pron.他自己		
1313	text message		短信		
1314	fish	[fɪʃ]	v.钓鱼；捕鱼		
1315	by the way		顺便说；顺便问一下		
1316	surf	[sɜːf]	冲浪		
1317	roundabout	[ˈraʊndəbaʊt]	a.迂回的,转弯抹角的n.环状交叉路	口		
1318	kit	[kɪt]	n. 工具箱；成套工具vt. 装备vi. 装	备n. (Kit)人名；(俄)基特；(东南亚		
1319	hope	[həʊp]	希望		
1320	usual	[ˈjuːʒuəl; ˈjuːʒəl]	adj.通常的，平常的		
1321	sign	[saɪn]	v.签名，署名		
1322	jewellery	[ˈdʒuːəlri]	n.珠宝		
1323	happy	[ˈhæpi]	adj.愉快的;高兴的		
1324	leg	[leɡ]	n.腿		
1325	anybody	[ˈenibɒdi]	pron.任何人		
1326	studies	['stʌdiz]	学习		
1327	island	[ˈaɪlənd]	n. 岛屿		
1328	noisy	[ˈnɔɪzi]	adj.吵闹的		
1329	exactly	[ɪɡˈzæktli]	adv.（答语）正是，没错		
1330	complete	[kəmˈpliːt]	v. 结束，完成；adj. 完整的；彻底	的		
1331	ticket	[ˈtɪkɪt]	n.票；券		
第 45 页，共 55 页
1332	mix	[mɪks]	混合		
1333	as well as		也，还有		
1334	foot	[fʊt]	n.足，脚；英尺(复feet)		
1335	occupation	[ˌɒkjuˈpeɪʃn]	n.职业		
1336	ourselves	[ɑːˈselvz; ˌaʊəˈselvz]	pron我们自己		
1337	real	[ˈriːəl; rɪəl]	adj.真实的，确实的；真正的		
1338	plastic	[ˈplæstɪk]	n.塑料		
1339	potato	[pəˈteɪtəʊ]	n.土豆，马铃薯		
1340	clever	[ˈklevər]	adj.聪明的		
1341	armchair	[ˈɑːmtʃeər]	n.扶手椅		
1342	success	[səkˈses]	n成功		
1343	hurry	[ˈhʌri]	n.赶紧；急忙		
1344	footballer	[ˈfʊtbɔːlə(r)]	n.足球运动员		
1345	electric	[ɪˈlektrɪk]	adj.电的		
1346	matter	[ˈmætər]	问题		
1347	surname	[ˈsəːneim]	n.姓		
1348	pizza	[ˈpiːtsə]	n.比萨饼		
1349	wild	[waɪld]	adj.野生的；荒凉的		
1350	find out		了解（到），弄清		
1351	umbrella	[ʌmˈbrelə]	n.伞		
1352	skate	[skeɪt]	滑冰		
1353	easy	[ˈiːzi]	adj.容易的，不费力的		
1354	photograph	[ˈfəʊtəɡrɑːf]	照片		
1355	drawing	[ˈdrɔːɪŋ]	n. 绘画；图画		
1356	aunt	[ɑːnt]	n.姑；姨；伯母；舅母；婶		
1357	pilot	[ˈpaɪlət]	n. 飞行员		
1358	French fries		炸薯条		
1359	normal	[ˈnɔːml]	n.&a.正常的（状态）		
1360	get	[ɡet]	v.成为，变得；得到；到达；(用于	have got短语中)具有(got, got)		
1361	pencil	[ˈpensl]	n.铅笔		
第 46 页，共 55 页
1362	famous	[ˈfeɪməs]	著名的		
1363	chain	[tʃeɪn]	n. 链子；一系列；连锁商店		
1364	meet	[miːt]	n.会，集会		
1365	hotel	[həʊˈtel]	旅馆		
1366	leave	[liːv]	v. 留下		
1367	race	[reɪs]	n.竞赛		
1368	boot	[buːt]	n.<美> (长统)靴, 靴子 v.导入		
1369	mine	[maɪn]	pron我的(物主代词)		
1370	rain	[reɪn]	v.&n.下雨;雨水		
1371	send	[send]	v.打发，派遣；送，邮寄	(sent,sent)		
1372	circle	[ˈsɜːkl]	n.循环		
1373	love	[lʌv]	n. & v.爱；热爱；很喜欢		
1374	awesome	[ˈɔːsəm]	adj.令人敬畏的，可怕的，极好的		
1375	singer	[ˈsɪŋər]	歌手		
1376	national	[ˈnæʃnəl]	国家的；民族的		
1377	machine	[məˈʃiːn]	n.机器		
1378	better	[ˈbetər]	更好的		
1379	scared	[skeəd]	恐惧的		
1380	some	[səm; sʌm]	pron.若干，一些		
1381	dancing	[ˈdɑːnsɪŋ]	n.跳舞，舞蹈		
1382	cake	[keɪk]	n.蛋糕，糕点；饼		
1383	granddad	[ˈɡrændæd]	(n)爷爷；姥爷		
1384	goodbye	[gudbai]	interj.再见		
1385	gas station		n. （汽车）加油站		
1386	want	[wɒnt]	v.要，想要；需要		
1387	toothbrush	[ˈtuːθbrʌʃ]	n.牙刷		
1388	these	[ðiːz]	adj.&pron.这些		
1389	blond	[blɒnd]	金色（的）		
1390	till	[tɪl]	prep. & conj. 直到……为止		
1391	good morning		早上好		
第 47 页，共 55 页
1392	football	[ˈfʊtbɔːl]	n.(英式)足球；(美式)橄榄球		
1393	decide	[dɪˈsaɪd]	v.决定		
1394	bread	[bred]	n.面包		
1395	practise	[ˈpræktɪs]	v.(美 practice)练习；实践		
1396	along	[əˈlɒŋ]	prep.沿着		
1397	folder	[ˈfəʊldə(r)]	(n)文件夹；折叠机；折叠式印刷品		
1398	mobile phone		n.移动电话，手机		
1399	grandson	[ˈɡrænsʌn]	n. 孙子；外孙		
1400	across	[əˈkrɒs]	adv.&prep.过;穿过		
1401	waitress	[ˈweɪtrəs]	n.女服务员		
1402	lie down		躺下		
1403	ruler	[ˈruːlər]	n.统治者；管理者		
1404	center	[ˈsentər]	n.(=centre)中心;中央		
1405	band	[bænd]	n.乐队		
1406	in	[ɪn]	adv.在家，在内，向内		
1407	diving	[ˈdaɪvɪŋ]	n.跳水，跳水运动		
1408	all kinds of		各种各样的		
1409	during	[ˈdjʊərɪŋ]	在……期间		
1410	clean	[kliːn]	v.&adj.打扫;弄干净;干净的		
1411	bake	[beɪk]	v. 烘烤		
1412	spring	[sprɪŋ]	n.春天，春季		
1413	few	[fjuː]	adj.不多的；少数的		
1414	upload	[ʌpˈləʊd]	v.上载，上传n.上传的数据		
1415	lunch	[lʌntʃ]	n.午餐；午饭		
1416	suggest	[səˈdʒest]	v. 建议：提议		
1417	camping	[ˈkæmpɪŋ]	n.野营		
1418	web	[web]	n.网，网状物		
1419	close	[kləʊs]	adj.亲密的；严密的		
1420	uncle	[ˈʌŋkl]	n.叔；伯；舅；姑夫；姨父		
1421	luck	[lʌk]	幸运		
第 48 页，共 55 页
1422	their	[ðeər]	pron.他(或她、它)们的		
1423	miss	[mɪs]	想念；错过		
1424	egg	[eɡ]	n.蛋；卵		
1425	grass	[ɡrɑːs]	草；草地		
1426	windy	[ˈwɪndi]	adj.多风的		
1427	act	[ækt]	v.扮演（戏剧、电影中的角色）		
1428	mineral water		矿泉水		
1429	give	[ɡɪv]	v.给；递给；付出；给予(gave, 	given)		
1430	holiday	[ˈhɒlədeɪ; ˈhɒlədi]	n.假日；假期		
1431	minute	[ˈmɪnɪt]	n. 分钟		
1432	suppose	[səˈpəʊz]	v. 假定，假设；推断		
1433	visitor	[ˈvɪzɪtər]	n.参观者；访问者		
1434	spell	[spel]	v.用字母拼，拼写		
1435	washing machine		洗衣机		
1436	forest	[ˈfɒrɪst]	森林		
1437	wall	[wɔːl]	墙		
1438	crowded	[ˈkraʊdɪd]	adj.拥挤的		
1439	lucky	[ˈlʌki]	adj. 好运的；幸运的		
1440	pepper	[ˈpepər]	n.胡椒粉；柿子椒		
1441	late	[leɪt]	adv.晚地；迟地		
1442	still	[stɪl]	adv.还;仍然		
1443	speaker	[ˈspiːkər]	n.扬声器		
1444	trainer	[ˈtreɪnər]	n.驯兽师，教练员，运动鞋		
1445	pillow	[ˈpɪləʊ]	n.枕头		
1446	hot	[hɒt]	adj.热的		
1447	indoor	[ˈɪndɔːr]	adj. （在）室内的		
1448	diary	[ˈdaɪəri]	n.日记；日记簿		
1449	of	[əv; ɒv]	prep.(表示所属，数量，其中	等)……的		
1450	come back		回来；返回		
1451	web page		n.网页		
第 49 页，共 55 页
1452	young	[jʌŋ]	adj.幼小的;年轻的		
1453	running	[ˈrʌnɪŋ]	adj. 流动的		
1454	I	[aɪ]	pron.我		
1455	underground	[ˌʌndəˈɡraʊnd]	adj. 地下的，n. 地铁		
1456	tree	[triː]	n.树		
1457	simple	[ˈsɪmpl]	adj.简单的		
1458	cook	[kʊk]	v.做饭，n.厨师		
1459	sure	[ʃʊər; ʃɔːr]	当然		
1460	businesswoman	[ˈbɪznəswʊmən]	n.妇女实业家		
1461	give somebody a 	call		给某人打电话		
1462	will	[wɪl]	将要		
1463	badly	[ˈbædli]	adv.严重地；差；非常		
1464	month	[mʌnθ]	n.月;月份		
1465	classical	[ˈklæsɪkl]	adj. 古典的		
1466	moon	[muːn]	n.月球，月亮		
1467	print	[prɪnt]	vi.&vt.打印；印刷		
1468	bed	[bed]	n.床		
1469	exercise	[ˈeksəsaɪz]	n. 活动；运动；锻炼		
1470	almost	[ˈɔːlməʊst]	几乎		
1471	boyfriend	[ˈbɔɪfrend]	n.男朋友		
1472	receive	[rɪˈsiːv]	vt.收到，接到		
1473	sentence	[ˈsentəns]	句子		
1474	pay	[peɪ]	v.&n.付费		
1475	herself	[hɜːˈself; həˈself]	pron.她自己		
1476	lamp	[læmp]	n.灯		
1477	talk	[tɔːk]	v.&n.说话；谈话		
1478	paper	[ˈpeɪpər]	纸张		
1479	nature	[ˈneɪtʃər]	n.自然；本质		
1480	now	[naʊ]	adv.现在		
1481	rabbit	[ˈræbɪt]	n.兔，家兔		
第 50 页，共 55 页
1482	interesting	[ˈɪntrəstɪŋ; ˈɪntrestɪ	ŋ]	adj.有趣的；有意思的		
1483	message	[ˈmesɪdʒ]	n.信息;消息		
1484	wrong	[rɒŋ]	adj.错误的；不正常的；有病的		
1485	airport	[ˈeəpɔːt]	飞机场		
1486	careful	[ˈkeəfl]	adj.小心的；仔细的		
1487	friend	[frend]	n.朋友		
1488	kids	[kɪdz]	孩子（复数）		
1489	notebook	[ˈnəʊtbʊk]	n.笔记本		
1490	farmer	[ˈfɑːmər]	n.农民，农夫		
1491	practice	[ˈpræktɪs]	v.&n.练习		
1492	album	[ˈælbəm]	n. 照片簿；集邮册		
1493	headteacher	[ˈhedˌtiːʧər]	n. 中小学的校长		
1494	lazy	[ˈleɪzi]	adj.懒散的;懒惰的		
1495	musician	[mjuˈzɪʃn]	n.音乐家		
1496	journey	[ˈdʒɜːni]	n.旅行，旅程		
1497	bit	[bɪt]	少量；小量		
1498	metre	[ˈmiːtər]	米		
1499	reason	[ˈriːzn]	n.理由；原因		
1500	any	[ˈeni]	adj.&pron.任何的;任一的;任何;任	一		
1501	strong	[strɒŋ]	adj.强(壮)的；坚固的；强烈的；坚	强的		
1502	video	[ˈvɪdiəʊ]	n.录像；视频		
1503	dead	[ded]	adj. 死的		
1504	can	[kæn]	（装饮料的）金属罐		
1505	document	[ˈdɒkjumənt]	n.文件		
1506	cost	[kɒst]	v. 花费；n. 花费		
1507	explain	[ɪkˈspleɪn]	vt.&vi.解释		
1508	less	[les]	adj.较少的，更少的		
1509	box	[bɒks]	n.盒子；箱子		
1510	friendly	[ˈfrendli]	有好的		
1511	worried	[ˈwʌrid]	adj.闷闷不乐的		
第 51 页，共 55 页
1512	teach	[tiːtʃ]	v. 教		
1513	video game	[ˈvidiəu ɡeim]	电子游戏		
1514	perhaps	[pəˈhæps; præps]	adv.可能，大概		
1515	the	[ðə; ði; ðiː]	art.这(那)个，这(那)些(用于特定人	或物、序数词、最高级、专有名	词，世上独一无二事物前)		
1516	length	[leŋkθ]	n. 长，长度		
1517	heart	[hɑːt]	n.心；心脏		
1518	latest	[ˈleɪtɪst]	adj.最新的；最近的		
1519	butterfly	[ˈbʌtəflaɪ]	n.蝴蝶		
1520	so	[səʊ]	非常；那么		
1521	monkey	[ˈmʌŋki]	n.猴子		
1522	them	[ðəm; ðem]	pron.他／她／它们(宾格)		
1523	win	[wɪn]	v.获胜，赢		
1524	boat	[bəʊt]	n.小船		
1525	mathematics	[ˌmæθəˈmætɪks]	数学		
1526	hobby	[ˈhɒbi]	n.爱好，嗜好		
1527	wifi	[ˈwaɪˌfaɪ]	无线网络		
1528	square	[skweər]	adj.平方的；方形的		
1529	own	[əʊn]	v.拥有		
1530	where	[weər]	adv.在哪里		
1531	cream	[kriːm]	n.奶油，乳脂		
1532	noon	[nuːn]	n. 正午		
1533	yourself	[jɔːˈself; jəˈself]	pron.你自己		
1534	business person		(n) 商务人士		
1535	well	[wel]	n.井，水井		
1536	article	[ˈɑːtɪkl]	n.文章		
1537	centre	[ˈsentər]	中心		
1538	easily	[ˈiːzəli]	adv.容易地		
1539	term	[tɜːm]	n.学期		
1540	costume	[ˈkɒstjuːm]	n.装束, 服装		
第 52 页，共 55 页
1541	temperature	[ˈtemprətʃər]	n.温度		
1542	new	[njuː]	adj.新的；刚出现的		
1543	title	[ˈtaɪtl]	n.标题，题目		
1544	puzzle	[ˈpʌzl]	n.谜，智力游戏；疑问		
1545	dining room	[ˈdaɪnɪŋ ruːm]	餐厅		
1546	possible	[ˈpɒsəbl]	adj.可能的		
1547	stage	[steɪdʒ]	n.舞台, 戏剧, 活动场所 vt.上演, 筹	备, 举行		
1548	yesterday	[ˈjestədeɪ; ˈjestədi]	adv. 昨天		
1549	quick	[kwɪk]	迅速的；快速地；		
1550	itself	[ɪtˈself]	pron它自己		
1551	brown	[braʊn]	adj.褐色的，棕色的		
1552	painting	[ˈpeɪntɪŋ]	绘画		
1553	textbook	[ˈtekstbʊk]	教科书；课本		
1554	sport	[spɔːt]	n.体育运动；锻炼		
1555	fair	[feər]	adj.公平的，合理的；金色的		
1556	activity	[ækˈtɪvəti]	n. 活动		
1557	Ms	[mˈes]	女士		
1558	please	[pliːz]	v.请		
1559	gold	[ɡəʊld]	n.金子，黄金		
1560	conversation	[ˌkɒnvəˈseɪʃn]	n.谈话		
1561	crazy	[ˈkreɪzi]	adj.疯狂的		
1562	secretary	[ˈsekrətri]	n. 秘书		
1563	sheet	[ʃiːt]	n.一张(纸)		
1564	bank	[bæŋk]	n. 银行		
1565	pupil	[ˈpjuːpl]	n.(小)学生		
1566	last	[lɑːst]	v.持续		
1567	explorer	[ɪkˈsplɔːrər]	n.探险者		
1568	ball	[bɔːl]	n.球		
1569	dress	[dres]	v.&n.穿衣服;连衣裙		
1570	corner	[ˈkɔːnər]	n.角		
