KET单词表汇总	
NO.	单词	音标	解释	默写	
512	petrol	[ˈpetrəl]	n.汽油		
513	company	[ˈkʌmpəni]	n.公司		
514	passport	[ˈpɑːspɔːt]	n.护照		
515	its	[ɪts]	它的		
516	further	[ˈfɜːðər]	adj. 进一步的		
517	salad	[ˈsæləd]	色拉		
518	healthy	[ˈhelθi]	adj. 健康的		
519	extra	[ˈekstrə]	adj.额外的		
520	Yeah	[jeə]	adv.是		
521	earring	[ˈɪərɪŋ]	n.耳环；耳饰		
522	instrument	[ˈɪnstrəmənt]	乐器；仪器		
523	scissors	[ˈsɪzəz]	剪刀		
524	beautiful	[ˈbjuːtɪfl]	adj.美丽的;美好的		
525	snack	[snæk]	n. 小吃；点心		
526	police	[pəˈliːs]	n.警察		
527	polite	[pəˈlaɪt]	有礼貌的；客气的		
528	dinner	[ˈdɪnər]	n.正餐		
